"","ARR_DEL15","DAY_OF_WEEK","CARRIER","DEST","ORIGIN","DEP_TIME_BLK"
"3546","0.00","2","B6","SFO","JFK","2000-2059"
"3547","0.00","2","B6","JFK","SFO","0700-0759"
"3548","0.00","2","B6","LAX","JFK","1600-1659"
"3549","1.00","2","B6","JFK","LAX","2100-2159"
"3550","0.00","2","B6","LAX","JFK","1200-1259"
"3552","0.00","2","B6","JFK","SFO","0001-0559"
"3553","0.00","2","B6","SFO","JFK","1100-1159"
"3554","0.00","2","B6","JFK","SFO","1500-1559"
"3556","0.00","2","B6","JFK","SFO","1100-1159"
"3579","0.00","2","AA","DFW","ATL","1200-1259"
"3580","0.00","2","AA","ATL","DFW","0900-0959"
"3589","0.00","2","AA","DFW","ATL","1400-1459"
"3590","0.00","2","AA","ATL","DFW","1000-1059"
"3595","0.00","2","AA","LAS","DFW","1300-1359"
"3605","1.00","2","AA","LAX","LAS","1300-1359"
"3606","1.00","2","AA","LAS","LAX","1000-1059"
"3609","0.00","2","AA","LAS","DFW","0700-0759"
"3624","0.00","2","DL","DFW","ATL","1900-1959"
"3625","0.00","2","DL","ATL","DFW","1700-1759"
"3628","0.00","2","DL","JFK","LAX","0800-0859"
"3629","0.00","2","DL","LAX","JFK","1800-1859"
"3632","0.00","2","DL","ATL","SFO","0800-0859"
"3643","0.00","2","DL","ATL","LAX","1200-1259"
"3645","0.00","2","DL","ATL","LAS","0900-0959"
"3646","0.00","2","DL","LAX","ATL","0800-0859"
"3672","0.00","2","DL","LAS","JFK","1900-1959"
"3675","0.00","2","DL","SFO","ATL","1900-1959"
"3692","0.00","2","DL","ATL","LAX","0700-0759"
"3700","0.00","2","DL","ATL","ORD","1200-1259"
"3703","0.00","2","DL","JFK","LAS","1000-1059"
"3705","0.00","2","DL","JFK","SFO","0600-0659"
"3706","0.00","2","DL","SFO","JFK","1500-1559"
"3707","0.00","2","DL","SFO","JFK","1700-1759"
"3708","0.00","2","DL","JFK","LAX","0700-0759"
"3712","0.00","2","DL","ATL","JFK","1300-1359"
"3714","0.00","2","DL","ATL","JFK","1500-1559"
"3721","0.00","2","DL","ATL","JFK","0600-0659"
"3723","0.00","2","DL","SFO","JFK","0700-0759"
"3732","0.00","2","DL","ATL","JFK","0800-0859"
"3735","1.00","2","DL","SFO","JFK","0900-0959"
"3736","0.00","2","DL","LAX","JFK","1100-1159"
"3744","1.00","2","DL","JFK","SFO","0800-0859"
"3745","0.00","2","DL","SFO","JFK","1900-1959"
"3746","0.00","2","DL","JFK","ATL","1200-1259"
"3747","0.00","2","DL","LAX","JFK","1700-1759"
"3772","0.00","2","DL","JFK","ATL","1700-1759"
"3786","0.00","2","DL","LAX","LAS","1200-1259"
"3812","0.00","2","DL","LAX","ATL","0700-0759"
"3827","0.00","2","DL","LAX","ATL","1300-1359"
"3851","0.00","2","DL","ATL","CLT","0700-0759"
"3857","0.00","2","DL","DFW","ATL","0700-0759"
"3893","0.00","2","DL","ORD","ATL","1200-1259"
"3991","0.00","2","DL","LAX","LAS","1700-1759"
"3998","0.00","2","DL","ATL","LAX","2300-2359"
"4057","0.00","2","DL","LAS","ATL","1100-1159"
"4062","0.00","2","DL","CLT","ATL","1700-1759"
"4063","0.00","2","DL","ATL","CLT","1900-1959"
"4090","0.00","2","DL","JFK","LAS","2300-2359"
"4102","0.00","2","DL","CLT","ATL","2100-2159"
"4108","0.00","2","DL","DFW","ATL","1700-1759"
"4109","0.00","2","DL","ATL","DFW","1900-1959"
"4110","0.00","2","DL","ATL","PHX","0800-0859"
"4123","0.00","2","DL","ATL","LAS","0700-0759"
"4234","0.00","2","DL","PHX","ATL","0800-0859"
"4235","0.00","2","DL","ATL","PHX","1100-1159"
"4243","0.00","2","DL","LAX","ATL","0900-0959"
"4244","0.00","2","DL","ATL","LAX","1500-1559"
"4272","0.00","2","DL","LAS","ATL","1500-1559"
"4276","1.00","2","DL","JFK","SFO","1100-1159"
"4298","0.00","2","DL","ATL","LAS","0600-0659"
"4308","0.00","2","DL","ORD","ATL","1300-1359"
"4309","0.00","2","DL","ATL","ORD","1500-1559"
"4319","0.00","2","DL","LAX","PHX","0700-0759"
"4344","0.00","2","DL","ATL","LAX","1000-1059"
"4356","0.00","2","DL","ATL","LAX","1400-1459"
"4393","0.00","2","DL","SFO","ATL","1100-1159"
"4394","0.00","2","DL","ATL","SFO","1400-1459"
"4414","0.00","2","DL","ORD","ATL","0900-0959"
"4435","0.00","2","DL","ATL","DFW","1200-1259"
"4436","0.00","2","DL","DFW","ATL","2200-2259"
"4493","0.00","2","DL","LAX","ATL","1500-1559"
"4513","0.00","2","DL","PHX","ATL","1100-1159"
"4514","0.00","2","DL","ATL","PHX","1400-1459"
"4517","0.00","2","DL","SFO","ATL","1700-1759"
"4519","0.00","2","DL","ORD","ATL","1700-1759"
"4520","0.00","2","DL","ATL","ORD","1900-1959"
"4542","0.00","2","DL","JFK","LAS","0600-0659"
"4559","0.00","2","DL","DFW","ATL","1600-1659"
"4560","0.00","2","DL","ATL","DFW","1800-1859"
"4562","0.00","2","DL","ORD","ATL","2200-2259"
"4639","0.00","2","DL","SFO","ATL","1300-1359"
